epis;QTable;steps;cumReward;discountedRew;
0;0;104.03;0;0;
5;305.3333;99.13;0;0;
10;626.6667;108.37;0;0;
15;884.3333;99.99;0;0;
20;1149;101.63;0;0;
25;1541.6667;100.71;0;0;
30;1727;115.84;0;0;
35;1930;94.48;0;0;
40;2081.6667;97.15;0;0;
45;2369.6667;81.15;0;0;
50;2578;85.68;0;0;
55;2701.3333;113.48;0;0;
60;2840.6667;82.58;0;0;
65;2905;86.9;0;0;
70;2998;98.65;0;0;
75;3159.6667;91.41;0;0;
80;3269.6667;90;0;0;
85;3358.3333;103.53;0;0;
90;3434;104.25;0;0;
95;3543.6667;106.74;0;0;
100;3610.6667;81.9;0;0;
105;3707.3333;89.09;0;0;
110;3827;85.15;0;0;
115;3931;86.31;0;0;
120;4013;100.42;0;0;
125;4142.3333;92.83;0;0;
130;4308.6667;87.62;0;0;
135;4411;97.05;0;0;
140;4499;109.79;0;0;
145;4594.3333;93.54;0;0;
150;4721.3333;103.83;0;0;
155;4818;96.39;0;0;
160;4896.3333;101.99;0;0;
165;4928;81.33;0;0;
170;5069.3333;86.69;0;0;
175;5133;98.12;0;0;
180;5197.3333;93.46;0;0;
185;5328.6667;88.25;0;0;
190;5395.3333;96.75;0;0;
195;5443.3333;86.52;0;0;
200;5506.3333;94.75;0;0;
205;5634.3333;90.13;0;0;
210;5702;88.73;0;0;
215;5825.6667;96.57;0;0;
220;5967;84.29;0;0;
225;6098.3333;92.45;0;0;
230;6187.3333;99.7;0;0;
235;6313.3333;80.88;0;0;
240;6377;90.17;0;0;
245;6399.3333;85.79;0;0;
250;6555.6667;95.17;0;0;
255;6819.6667;88.91;0;0;
260;7034.3333;89.84;0;0;
265;7088.3333;86.42;0;0;
270;7167.3333;97.99;0;0;
275;7342.6667;93.42;0;0;
280;7411.6667;109.36;0;0;
285;7482.3333;91.8;0;0;
290;7592.6667;86.36;0;0;
295;7680.3333;84.94;0;0;
300;7812.6667;98.41;0;0;
305;8018.3333;98.29;0;0;
310;8123.6667;91.89;0;0;
315;8192.6667;86.95;0;0;
320;8373;98.86;0;0;
325;8545.6667;86.39;0;0;
330;8592.6667;84.63;0;0;
335;8642.6667;89.33;0;0;
340;8726.3333;88.55;0;0;
345;8793;99.64;0;0;
350;8831.3333;104.81;0;0;
355;8950;92.59;0;0;
360;9002.6667;102.79;0;0;
365;9075;89.96;0;0;
370;9162.3333;82.08;0;0;
375;9304.3333;97.01;0;0;
380;9397.3333;97.47;0;0;
385;9513.3333;94.25;0;0;
390;9593.6667;94.54;0;0;
395;9713.6667;103.02;0;0;
400;9871.3333;83.54;0;0;
405;9951;99.34;0;0;
410;10114.6667;90.73;0;0;
415;10176;83.33;0;0;
420;10237;97.56;0;0;
425;10343;83.96;0;0;
430;10494;97.11;0;0;
435;10614.6667;94.53;0;0;
440;10729.6667;94.83;0;0;
445;10875;98.75;0;0;
450;11017.3333;86.66;0;0;
455;11123.3333;103.05;0;0;
460;11206;103.09;0;0;
465;11315;94.24;0;0;
470;11470;92.69;0;0;
475;11613.6667;84.43;0;0;
480;11703.6667;86.33;0;0;
485;11796.6667;95.57;0;0;
490;11862;96.94;0;0;
495;11968;90.25;0;0;
500;12025;82.59;0;0;
505;12123.6667;77.85;0;0;
510;12189.6667;88.59;0;0;
515;12286.6667;89.14;0;0;
520;12371;81.88;0;0;
525;12427.6667;84.46;0;0;
530;12503;85.07;0;0;
535;12581;114.67;0;0;
540;12666.3333;84.02;0;0;
545;12765.6667;91.48;0;0;
550;12847.6667;85.59;0;0;
555;12954;72.5;0;0;
560;13009.3333;94.01;0;0;
565;13071.3333;97.46;0;0;
570;13138.3333;91.56;0;0;
575;13276.6667;97.12;0;0;
580;13323.6667;89.76;0;0;
585;13388.3333;91.17;0;0;
590;13536.6667;95.84;0;0;
595;13610;99.05;0;0;
600;13643.3333;86.7;0;0;
605;13713.6667;108.24;0;0;
610;13823.6667;84.26;0;0;
615;13946;74;0;0;
620;14027.3333;79.36;0;0;
625;14066;75.11;0;0;
630;14155.3333;79.89;0;0;
635;14224;83.43;0;0;
640;14355.3333;78.02;0;0;
645;14391.6667;84.95;0;0;
