epis;QTable;steps;cumReward;discountedRew;
0;0;88.47;0;0;
5;514;102.79;0;0;
10;704.3333;110.8;0;0;
15;996;111.88;0;0;
20;1258;105.92;0;0;
25;1559;100.97;0;0;
30;1736.6667;98.99;0;0;
35;1886;103.43;0;0;
40;2123.6667;92.97;0;0;
45;2280;92.83;0;0;
50;2548;107.31;0;0;
55;2691;87.45;0;0;
60;2798.3333;107.4;0;0;
65;2917.6667;90.9;0;0;
70;3046.6667;86.75;0;0;
75;3181;86.68;0;0;
80;3356.6667;89.69;0;0;
85;3458.6667;97.07;0;0;
90;3648;95.17;0;0;
95;3828;92.17;0;0;
100;4009.6667;87.16;0;0;
105;4121.3333;107.99;0;0;
110;4238.3333;96.27;0;0;
115;4393;104.56;0;0;
120;4501.6667;88.37;0;0;
125;4656.6667;88.91;0;0;
130;4762.6667;92.88;0;0;
135;4839.6667;91.91;0;0;
140;4988.3333;89.22;0;0;
145;5096;89.09;0;0;
150;5179.3333;91.73;0;0;
155;5286;102.84;0;0;
160;5445;96.61;0;0;
165;5612;92.28;0;0;
170;5737.3333;92.85;0;0;
175;5802.3333;107.43;0;0;
180;5860;96.31;0;0;
185;6059.3333;102.91;0;0;
190;6152.3333;85.21;0;0;
195;6276.6667;95.83;0;0;
200;6453.6667;90.21;0;0;
205;6563;100.14;0;0;
210;6654;84.45;0;0;
215;6769.3333;93.7;0;0;
220;6956.3333;93.7;0;0;
225;7123;97.5;0;0;
230;7201.6667;97.02;0;0;
235;7362.3333;107.46;0;0;
240;7472;88.39;0;0;
245;7524.3333;82.09;0;0;
250;7588.6667;102.08;0;0;
255;7732.6667;83.64;0;0;
260;7809.3333;102.97;0;0;
265;7930.3333;82.9;0;0;
270;8046.3333;84.58;0;0;
275;8148.6667;103.57;0;0;
280;8241.6667;103.33;0;0;
285;8448.6667;107.46;0;0;
290;8584;89.82;0;0;
295;8656.3333;82.47;0;0;
300;8766.3333;103.96;0;0;
305;8876.3333;104.3;0;0;
310;8988.6667;104.66;0;0;
315;9130.6667;97.37;0;0;
320;9228;91.83;0;0;
325;9362.6667;88.39;0;0;
330;9480.6667;83.04;0;0;
335;9550.3333;83.76;0;0;
340;9634.6667;106.06;0;0;
345;9667.6667;90.68;0;0;
350;9795;89.14;0;0;
355;9864.3333;109.8;0;0;
360;9942;105.83;0;0;
365;10002.6667;95.56;0;0;
370;10086.6667;95.16;0;0;
375;10198.3333;83.65;0;0;
380;10373.3333;107.18;0;0;
385;10478.6667;84.61;0;0;
390;10742.6667;99.61;0;0;
395;10843.6667;87.13;0;0;
400;10949;96.44;0;0;
405;11067.3333;90.42;0;0;
410;11194.6667;94.34;0;0;
415;11245;93.77;0;0;
420;11364.6667;97.51;0;0;
425;11443;93.51;0;0;
430;11506;103.51;0;0;
435;11608.3333;101.22;0;0;
440;11672.6667;107.34;0;0;
445;11765;89.82;0;0;
450;11950.6667;91.43;0;0;
455;12032.6667;89.83;0;0;
460;12125;93.83;0;0;
465;12282;89.58;0;0;
470;12426.6667;98.91;0;0;
475;12471;106.73;0;0;
480;12523.6667;89.99;0;0;
485;12623.6667;94.89;0;0;
490;12689.6667;96.97;0;0;
495;12823.3333;98.55;0;0;
500;12950.6667;116.47;0;0;
505;13056;103.17;0;0;
510;13143.3333;100.82;0;0;
515;13236;98.92;0;0;
520;13329.6667;91.11;0;0;
525;13418.6667;100.51;0;0;
530;13500.3333;88.99;0;0;
535;13620.3333;92.1;0;0;
540;13696.3333;91.53;0;0;
545;13746;108.57;0;0;
550;13772;96.13;0;0;
555;13833;94.5;0;0;
560;13987;89.6;0;0;
565;14085.3333;86.43;0;0;
570;14147.6667;96.18;0;0;
575;14214.6667;94.53;0;0;
580;14261.3333;89.07;0;0;
585;14344;99.36;0;0;
590;14413;87.36;0;0;
595;14471;94.35;0;0;
600;14537.3333;96;0;0;
605;14611.3333;91.93;0;0;
610;14718;99.2;0;0;
615;14784;105.69;0;0;
620;14865;93.98;0;0;
625;15071.3333;106.94;0;0;
630;15168.6667;101.06;0;0;
635;15247.3333;101.22;0;0;
640;15315.6667;93.89;0;0;
645;15367.3333;84.93;0;0;
650;15421.6667;88.09;0;0;
655;15541;86.28;0;0;
660;15596;82.62;0;0;
665;15675.6667;101.14;0;0;
670;15838;85.87;0;0;
675;15901;105.23;0;0;
680;16053.3333;90.15;0;0;
685;16125.3333;99.24;0;0;
690;16243.6667;86.04;0;0;
695;16399.3333;107.93;0;0;
700;16462.6667;100.72;0;0;
705;16570.6667;103.45;0;0;
710;16705;97.31;0;0;
715;16795.3333;84.84;0;0;
720;16957;92.59;0;0;
725;17061;106.32;0;0;
730;17140;89.86;0;0;
735;17226;86.72;0;0;
740;17304.6667;93.73;0;0;
745;17425.6667;83.54;0;0;
750;17553.3333;97.61;0;0;
755;17665.6667;85.71;0;0;
760;17743;87.06;0;0;
765;17784;90.8;0;0;
770;17823.3333;89.2;0;0;
775;17960.6667;96.65;0;0;
780;17989.3333;92.54;0;0;
785;18035.3333;81.17;0;0;
790;18091.6667;97.07;0;0;
795;18179.6667;102.69;0;0;
800;18253.3333;98.08;0;0;
805;18359.6667;89.25;0;0;
810;18486.3333;99.44;0;0;
815;18545;87.35;0;0;
820;18623;95.7;0;0;
825;18700;83.96;0;0;
830;18747;100.69;0;0;
835;18771.6667;92.36;0;0;
840;18809.6667;86.75;0;0;
845;18923.3333;82.85;0;0;
850;19013.3333;85.6;0;0;
855;19141.6667;89.56;0;0;
860;19227;96.49;0;0;
865;19264.3333;89.16;0;0;
870;19324;109.88;0;0;
875;19435;89.4;0;0;
880;19571;98.74;0;0;
885;19609.3333;98.31;0;0;
890;19649.6667;88.38;0;0;
895;19738.6667;103.29;0;0;
900;19797.6667;86.8;0;0;
905;19852.6667;91.26;0;0;
910;19929.6667;84.27;0;0;
915;19989;104.77;0;0;
920;20043.6667;96.46;0;0;
925;20098.3333;91.99;0;0;
930;20225.3333;90.82;0;0;
935;20320.3333;86.72;0;0;
940;20425.3333;93.73;0;0;
945;20527;91.93;0;0;
950;20619.6667;93.77;0;0;
955;20673;82.64;0;0;
960;20756.6667;94.55;0;0;
965;20810;93.27;0;0;
970;20908.6667;89.61;0;0;
975;20959.3333;79.87;0;0;
980;21003;79.66;0;0;
985;21087;96.49;0;0;
990;21148.6667;90.76;0;0;
995;21221;82.22;0;0;
1000;21299.3333;87.36;0;0;
1005;21387.6667;84.98;0;0;
1010;21454.3333;109.49;0;0;
1015;21497.6667;93.75;0;0;
1020;21589.3333;100.75;0;0;
1025;21670;100.31;0;0;
1030;21782;101.34;0;0;
1035;21845.6667;104.27;0;0;
1040;21893;104.48;0;0;
1045;21950.3333;100.96;0;0;
1050;22009.3333;86.4;0;0;
1055;22075.6667;114.31;0;0;
1060;22157.6667;94.47;0;0;
1065;22229.3333;105.1;0;0;
1070;22284;70.13;0;0;
1075;22369.6667;78.4;0;0;
1080;22450.3333;91.85;0;0;
1085;22564.6667;94.92;0;0;
1090;22680.6667;84.87;0;0;
1095;22724.6667;98.41;0;0;
1100;22812.3333;89.62;0;0;
1105;22918.3333;85.12;0;0;
1110;22959.3333;97.62;0;0;
1115;23012.6667;93.16;0;0;
1120;23087;83.64;0;0;
1125;23148.6667;96.17;0;0;
1130;23188.3333;87.28;0;0;
1135;23262;101.41;0;0;
1140;23350;93.96;0;0;
1145;23401.6667;77.91;0;0;
1150;23465.6667;86.91;0;0;
1155;23576;95.61;0;0;
1160;23654;93.23;0;0;
1165;23743;74.32;0;0;
1170;23795.3333;91.32;0;0;
1175;23833.6667;90.14;0;0;
1180;23896.3333;93.93;0;0;
1185;23984;91.12;0;0;
1190;24057;95.05;0;0;
1195;24115.6667;96.74;0;0;
1200;24184;91.11;0;0;
1205;24262.6667;109.93;0;0;
1210;24321.3333;101.2;0;0;
1215;24393.3333;104.56;0;0;
1220;24470.6667;80.77;0;0;
1225;24535.6667;97.41;0;0;
1230;24617;94.92;0;0;
1235;24675.6667;81.45;0;0;
1240;24728.3333;81.43;0;0;
1245;24780.6667;84.81;0;0;
1250;24827.3333;87.44;0;0;
1255;24891;83.46;0;0;
1260;24975.3333;82.87;0;0;
1265;25035;85.49;0;0;
1270;25108.6667;97.99;0;0;
1275;25134.3333;79.15;0;0;
1280;25198;82.34;0;0;
1285;25251;82.01;0;0;
1290;25292;91.89;0;0;
1295;25358;94.73;0;0;
1300;25442.6667;99.67;0;0;
1305;25475.3333;100.2;0;0;
1310;25506.6667;112.97;0;0;
1315;25576.6667;96.18;0;0;
1320;25679;99.37;0;0;
1325;25717.3333;97.44;0;0;
1330;25783;78.72;0;0;
1335;25852.3333;86.54;0;0;
1340;25941.6667;88.5;0;0;
1345;25999.3333;74.66;0;0;
1350;26109.6667;86.92;0;0;
1355;26182;72.82;0;0;
1360;26253.3333;94.32;0;0;
1365;26283.3333;86.66;0;0;
1370;26376.6667;91.93;0;0;
1375;26425.3333;87.23;0;0;
1380;26479.3333;88.41;0;0;
1385;26587;78.36;0;0;
1390;26625.6667;97.56;0;0;
1395;26677.3333;91.84;0;0;
1400;26730.6667;101.34;0;0;
1405;26784.6667;96.98;0;0;
1410;26841.6667;88.6;0;0;
1415;26908.3333;96.46;0;0;
1420;27036;103.9;0;0;
1425;27067.6667;92.74;0;0;
1430;27129;83;0;0;
1435;27154.6667;90.59;0;0;
1440;27186.6667;87.7;0;0;
1445;27256.3333;86.43;0;0;
1450;27290;83.69;0;0;
1455;27328;88.13;0;0;
1460;27385;85.55;0;0;
1465;27434;99.23;0;0;
1470;27471.3333;111.77;0;0;
1475;27511.6667;87.68;0;0;
1480;27579.3333;91.9;0;0;
1485;27651.3333;104.76;0;0;
1490;27713;93.62;0;0;
1495;27803.6667;96;0;0;
1500;27882;87.02;0;0;
