epis;QTable;steps;cumReward;discountedRew;
0;0;93.98;0;0;
5;309;88.9;0;0;
10;494.3333;92.8;0;0;
15;638.3333;98.66;0;0;
20;869.6667;89.56;0;0;
25;1098;106.92;0;0;
30;1294.6667;103.72;0;0;
35;1508.6667;101.61;0;0;
40;1707.6667;104.8;0;0;
45;1931.3333;100.9;0;0;
50;2106;116;0;0;
55;2180.6667;91.68;0;0;
60;2300.3333;102.97;0;0;
65;2454;97.5;0;0;
70;2624;114.31;0;0;
75;2817;98.35;0;0;
80;2919;89.08;0;0;
85;3028.3333;107.74;0;0;
90;3149;92.2;0;0;
95;3257.3333;92.46;0;0;
100;3378.6667;87.92;0;0;
105;3530;102.83;0;0;
110;3676;112.52;0;0;
115;3929.3333;97.66;0;0;
120;4082;96.27;0;0;
125;4135;107.22;0;0;
130;4309;103.35;0;0;
135;4425.3333;98.5;0;0;
140;4594.6667;94.54;0;0;
145;4746.6667;99.36;0;0;
150;4896.6667;97.06;0;0;
155;4982;83.5;0;0;
160;5081.3333;104.65;0;0;
165;5216.6667;96.06;0;0;
170;5316;111.88;0;0;
175;5488;109.38;0;0;
180;5567.3333;108.83;0;0;
185;5669.6667;89.43;0;0;
190;5722;104.21;0;0;
195;5801;91.77;0;0;
200;5877.3333;102.75;0;0;
205;6146;96.41;0;0;
210;6308.6667;98.9;0;0;
215;6442.6667;91.79;0;0;
220;6577;97.7;0;0;
225;6740.3333;87.9;0;0;
230;6851.3333;90.7;0;0;
235;7005.6667;88.72;0;0;
240;7094.6667;105.87;0;0;
245;7170.6667;102.53;0;0;
250;7259;113;0;0;
255;7371.3333;105;0;0;
260;7454.3333;97.62;0;0;
265;7594.3333;102.13;0;0;
270;7695.3333;88.32;0;0;
275;7758.6667;96.6;0;0;
280;7802;101.85;0;0;
285;8026.6667;96.62;0;0;
290;8178.3333;113.06;0;0;
295;8303.3333;91.56;0;0;
300;8371.6667;86.54;0;0;
305;8501;98.8;0;0;
310;8568;98.38;0;0;
315;8699;99.16;0;0;
320;8791;95.36;0;0;
325;8847.3333;87.98;0;0;
330;8923;100.86;0;0;
335;9088.6667;92.55;0;0;
340;9248;85.86;0;0;
345;9377.6667;88.73;0;0;
350;9470.6667;93.75;0;0;
355;9518.6667;104.76;0;0;
360;9635.6667;92.95;0;0;
365;9712.3333;78.72;0;0;
370;9770.3333;92.95;0;0;
375;9915.6667;75.22;0;0;
380;10003.3333;97.22;0;0;
385;10098.6667;95.9;0;0;
390;10176.6667;101.23;0;0;
395;10286.6667;91.94;0;0;
400;10339;81.46;0;0;
