epis;QTable;steps;cumReward;discountedRew;
0;0;104.76;0;0;
5;359.6667;106.44;0;0;
10;739.6667;112.33;0;0;
15;865;96.12;0;0;
20;990.3333;94.87;0;0;
25;1149;110.96;0;0;
30;1251.3333;110.11;0;0;
35;1405;94.34;0;0;
40;1690.3333;92.74;0;0;
45;1841.3333;100.24;0;0;
50;1974.3333;94.74;0;0;
55;2199.3333;97.49;0;0;
60;2442.6667;96.07;0;0;
65;2596;95.84;0;0;
70;2695.6667;98.34;0;0;
75;2857.6667;84.59;0;0;
80;2980;100.11;0;0;
85;3175.3333;102.63;0;0;
90;3344;90.07;0;0;
95;3428.6667;88.49;0;0;
100;3468.6667;78.16;0;0;
105;3526.3333;89.54;0;0;
110;3670.6667;90.76;0;0;
115;3836.3333;82.65;0;0;
120;3974.6667;92.4;0;0;
125;4094;97.94;0;0;
130;4175;93;0;0;
135;4307.6667;89.4;0;0;
140;4431.3333;98.85;0;0;
145;4537;92.24;0;0;
150;4719;91.83;0;0;
155;4789.6667;89.38;0;0;
160;4887.3333;84.79;0;0;
165;5125.3333;97.96;0;0;
170;5259.3333;100.22;0;0;
175;5302.3333;84.89;0;0;
180;5379.6667;92.33;0;0;
185;5606;93.86;0;0;
190;5730.6667;100.87;0;0;
195;5840;96.06;0;0;
200;5922.6667;96.18;0;0;
205;6019;84.51;0;0;
210;6118;93.22;0;0;
215;6206.6667;92.84;0;0;
220;6317.3333;85.64;0;0;
225;6418.6667;89.98;0;0;
230;6483.6667;90.1;0;0;
235;6553;78.84;0;0;
240;6647.6667;86.48;0;0;
245;6781;98.59;0;0;
250;6874.3333;95.26;0;0;
255;6940.6667;98.57;0;0;
260;7052.3333;87.78;0;0;
265;7166.6667;91.1;0;0;
270;7229.3333;89.6;0;0;
275;7330.6667;80.03;0;0;
280;7462.3333;91.6;0;0;
285;7576.3333;85.4;0;0;
290;7790;85.27;0;0;
295;7931.3333;90.48;0;0;
300;8042;71.5;0;0;
305;8279.3333;76.54;0;0;
310;8328.6667;80.4;0;0;
315;8394.6667;87;0;0;
320;8528.3333;93.47;0;0;
325;8558;86.01;0;0;
330;8671;89.81;0;0;
335;8740.3333;84.57;0;0;
340;8835;77.46;0;0;
