epis;QTable;steps;cumReward;discountedReward;
100;227852;999;100.0;81.0;
200;408149;999;200.0;140.0;
300;544205;999;300.0;178.8;
400;643527;999;300.0;178.8;
500;740041;999;300.0;178.8;
600;821438;999;300.0;178.8;
700;885235;999;300.0;178.8;
800;928474;999;500.0;216.1;
900;976944;999;500.0;216.1;
1000;1009756;999;500.0;216.1;
1100;1037450;999;500.0;216.1;
1200;1065643;999;500.0;216.1;
1300;1096958;999;500.0;216.1;
1400;1122164;999;500.0;216.1;
1500;1144401;26;600.0;223.2;
1600;1168478;26;600.0;223.2;
1700;1190571;26;600.0;223.2;
1800;1211996;26;600.0;223.2;
1900;1235600;26;600.0;223.2;
2000;1254121;26;600.0;223.2;
2100;1272242;26;600.0;223.2;
2200;1289478;26;600.0;223.2;
2300;1302176;999;300.0;178.8;
2400;1319266;26;600.0;223.2;
2500;1335433;26;600.0;227.5;
2600;1349809;26;600.0;227.5;
2700;1360104;26;600.0;227.5;
2800;1376106;26;600.0;227.5;
2900;1386375;26;600.0;227.5;
3000;1396217;26;600.0;227.5;
3100;1410123;26;600.0;227.5;
3200;1421468;26;600.0;227.5;
3300;1434543;26;600.0;231.7;
3400;1439709;26;600.0;231.7;
3500;1451673;26;600.0;231.7;
3600;1457836;26;600.0;231.7;
3700;1466665;26;600.0;231.7;
3800;1475734;24;600.0;254.4;
3900;1494880;24;600.0;254.4;
4000;1511386;24;600.0;254.4;
4100;1522597;24;600.0;254.4;
4200;1546280;24;600.0;254.4;
4300;1561687;24;600.0;254.4;
4400;1574780;24;600.0;254.4;
4500;1590192;24;600.0;254.4;
4600;1606016;24;600.0;254.4;
4700;1615467;24;600.0;254.4;
4800;1626061;24;600.0;254.4;
4900;1632432;24;600.0;254.4;
5000;1643134;24;600.0;254.4;
