epis;QTable;steps;cumReward;discountedReward;
100;239570;247;600.0;104.0;
200;402659;999;200.0;149.0;
300;535113;230;600.0;202.4;
400;652334;422;600.0;190.4;
500;750222;999;300.0;183.9;
600;827731;999;300.0;183.9;
700;901818;999;300.0;183.9;
800;969343;999;300.0;183.9;
900;1023316;999;300.0;183.9;
1000;1068424;999;500.0;198.4;
1100;1104501;999;500.0;198.4;
1200;1137754;153;600.0;198.4;
1300;1169408;999;500.0;198.4;
1400;1200319;999;500.0;198.4;
1500;1224021;999;500.0;198.4;
1600;1247626;999;500.0;201.7;
1700;1275670;999;500.0;201.7;
1800;1295313;999;500.0;201.7;
1900;1322808;999;500.0;201.7;
2000;1333071;999;500.0;201.7;
2100;1354970;999;500.0;201.7;
2200;1376877;44;600.0;202.8;
2300;1394479;44;600.0;202.8;
2400;1415258;44;600.0;202.8;
2500;1431205;44;600.0;202.8;
2600;1444810;44;600.0;202.8;
2700;1462871;42;600.0;207.2;
2800;1473511;42;600.0;207.2;
2900;1486942;42;600.0;207.2;
3000;1499989;42;600.0;208.6;
3100;1512406;42;600.0;208.6;
3200;1533504;42;600.0;208.6;
3300;1553119;42;600.0;208.6;
3400;1573289;42;600.0;208.6;
3500;1591797;42;600.0;208.6;
3600;1605219;42;600.0;208.6;
3700;1621536;42;600.0;208.6;
3800;1636564;42;600.0;208.6;
3900;1653844;40;600.0;208.9;
4000;1664667;40;600.0;208.9;
4100;1674091;40;600.0;208.9;
4200;1681992;40;600.0;208.9;
4300;1692268;40;600.0;208.9;
4400;1704898;40;600.0;206.9;
4500;1725096;40;600.0;208.0;
4600;1737586;40;600.0;206.9;
4700;1750370;40;600.0;208.0;
4800;1760482;40;600.0;208.0;
4900;1774135;40;600.0;208.0;
5000;1785861;40;600.0;208.0;
