epis;QTable;steps;cumReward;discountedReward;
100;226989;201;600.0;141.4;
200;386025;999;200.0;140.0;
300;515865;340;600.0;190.0;
400;623626;999;400.0;190.0;
500;699463;999;400.0;190.0;
600;763725;999;500.0;198.8;
700;830949;999;500.0;198.8;
800;880514;999;500.0;198.8;
900;923859;999;500.0;198.8;
1000;962839;999;500.0;198.8;
1100;992348;33;600.0;202.3;
1200;1032632;33;600.0;202.3;
1300;1062912;33;600.0;202.3;
1400;1094613;33;600.0;202.3;
1500;1120814;33;600.0;202.3;
1600;1149370;33;600.0;202.3;
1700;1174331;33;600.0;202.3;
1800;1204635;31;600.0;203.1;
1900;1225820;31;600.0;203.1;
2000;1251410;29;600.0;204.1;
2100;1273004;29;600.0;204.1;
2200;1304346;29;600.0;204.1;
2300;1330381;29;600.0;204.1;
2400;1354532;29;600.0;204.1;
2500;1373555;29;600.0;206.1;
2600;1398855;29;600.0;206.1;
2700;1417472;31;600.0;205.1;
2800;1438601;29;600.0;206.1;
2900;1450967;29;600.0;206.1;
3000;1465695;29;600.0;206.1;
3100;1483388;29;600.0;206.1;
3200;1501968;29;600.0;206.1;
3300;1514068;29;600.0;206.1;
3400;1538987;29;600.0;206.1;
3500;1560923;999;300.0;181.5;
3600;1587799;999;300.0;181.5;
3700;1609364;113;600.0;202.8;
3800;1630022;35;600.0;217.8;
3900;1642184;35;600.0;217.8;
4000;1658116;39;600.0;216.8;
4100;1679066;999;500.0;215.0;
4200;1700663;999;500.0;215.0;
4300;1710076;27;581.0;220.2;
4400;1721221;27;581.0;220.2;
4500;1729709;27;581.0;220.2;
4600;1740136;27;581.0;220.2;
4700;1754962;27;581.0;220.2;
4800;1764234;27;581.0;220.2;
4900;1775760;27;581.0;229.2;
5000;1785096;27;581.0;229.2;
