epis;QTable;steps;cumReward;discountedReward;
100;229951;999;0.0;0.0;
200;416040;999;0.0;0.0;
300;588184;999;100.0;65.6;
400;719016;223;600.0;150.0;
500;840465;337;600.0;153.6;
600;929134;243;581.0;179.0;
700;999740;19;600.0;212.6;
800;1047792;19;600.0;212.6;
900;1099704;19;600.0;212.6;
1000;1151264;19;600.0;212.6;
1100;1193375;19;600.0;212.6;
1200;1220742;19;600.0;212.6;
1300;1249092;19;600.0;212.6;
1400;1280338;19;600.0;212.6;
1500;1307525;19;600.0;212.6;
1600;1335584;19;600.0;212.6;
1700;1374350;19;600.0;212.6;
1800;1392870;19;600.0;212.6;
1900;1416724;19;600.0;212.6;
2000;1443320;19;600.0;212.6;
2100;1465610;19;600.0;212.6;
2200;1489034;19;600.0;212.6;
2300;1508492;19;600.0;212.6;
2400;1533636;19;600.0;212.6;
2500;1559016;19;600.0;212.6;
2600;1588116;19;600.0;212.6;
2700;1616308;19;600.0;212.6;
2800;1638013;19;600.0;212.6;
2900;1656886;19;600.0;212.6;
3000;1676841;19;600.0;212.6;
3100;1697267;19;600.0;212.6;
3200;1721566;19;600.0;212.6;
3300;1741225;19;600.0;212.6;
3400;1755911;19;600.0;212.6;
3500;1770732;19;600.0;212.6;
3600;1782122;19;600.0;212.6;
3700;1798604;19;600.0;212.6;
3800;1808181;19;600.0;212.6;
3900;1827748;19;600.0;212.6;
4000;1845398;19;600.0;212.6;
4100;1865075;19;600.0;212.6;
4200;1880092;19;600.0;212.6;
4300;1891015;19;600.0;212.6;
4400;1907945;19;600.0;212.6;
4500;1923832;19;600.0;212.6;
4600;1939823;19;600.0;212.6;
4700;1956501;19;600.0;212.6;
4800;1973047;19;600.0;212.6;
4900;1981906;19;600.0;212.6;
5000;1995736;19;600.0;212.6;
