epis;QTable;steps;cumReward;discountedReward;
100;204008;153;581.0;100.4;
200;383544;999;200.0;96.2;
300;530569;999;200.0;96.2;
400;658788;458;581.0;108.4;
500;760848;145;600.0;118.5;
600;831758;145;600.0;124.4;
700;905950;145;600.0;124.4;
800;969431;145;600.0;124.4;
900;1015703;145;600.0;124.4;
1000;1065188;37;600.0;126.6;
1100;1107758;30;600.0;129.1;
1200;1143728;30;600.0;129.1;
1300;1184430;30;600.0;129.1;
1400;1222784;30;600.0;129.1;
1500;1252175;30;600.0;129.1;
1600;1284504;30;600.0;129.1;
1700;1313759;30;600.0;129.1;
1800;1343883;30;600.0;129.1;
1900;1370995;30;600.0;129.1;
2000;1396247;30;600.0;129.1;
2100;1416944;30;600.0;129.1;
2200;1446689;30;600.0;129.1;
2300;1476042;30;600.0;129.1;
2400;1496708;30;600.0;129.1;
2500;1528286;30;600.0;129.1;
2600;1555040;30;600.0;129.1;
2700;1573329;30;600.0;129.1;
2800;1587791;30;600.0;129.1;
2900;1607161;30;600.0;129.1;
3000;1628106;30;600.0;129.1;
3100;1644270;30;600.0;129.1;
3200;1660472;30;600.0;129.1;
3300;1681043;28;600.0;127.2;
3400;1709216;28;600.0;127.2;
3500;1732939;28;600.0;127.2;
3600;1760300;28;600.0;127.2;
3700;1792466;28;600.0;127.2;
3800;1812653;28;600.0;127.2;
3900;1829413;28;600.0;127.2;
4000;1855800;28;600.0;127.2;
4100;1878965;28;600.0;127.2;
4200;1900627;28;600.0;127.2;
4300;1920650;28;600.0;127.2;
4400;1944018;28;600.0;127.2;
4500;1958785;28;600.0;127.2;
4600;1974613;28;600.0;127.2;
4700;1988113;28;600.0;127.2;
4800;2009181;28;600.0;127.2;
4900;2026995;28;600.0;127.2;
5000;2041885;28;600.0;127.2;
