epis;QTable;steps;cumReward;discountedReward;
100;230477;999;0.0;0.0;
200;420719;999;0.0;0.0;
300;582804;229;600.0;79.2;
400;710977;150;600.0;107.3;
500;829243;150;600.0;107.3;
600;912828;97;600.0;118.8;
700;982066;97;600.0;118.8;
800;1039683;97;600.0;118.8;
900;1092704;999;400.0;118.8;
1000;1148519;477;581.0;126.7;
1100;1186265;999;400.0;118.8;
1200;1220870;28;600.0;131.8;
1300;1252760;28;600.0;131.8;
1400;1286873;28;600.0;131.8;
1500;1323266;28;600.0;131.8;
1600;1353825;28;600.0;131.8;
1700;1380774;28;600.0;131.8;
1800;1400326;28;600.0;131.8;
1900;1428423;28;600.0;131.8;
2000;1448423;28;600.0;131.8;
2100;1466843;28;600.0;131.8;
2200;1485002;28;600.0;131.8;
2300;1505385;28;600.0;131.8;
2400;1519867;28;600.0;131.8;
2500;1537517;28;600.0;131.8;
2600;1558273;28;600.0;131.8;
2700;1576417;28;600.0;131.8;
2800;1593128;28;600.0;131.8;
2900;1606165;28;600.0;131.8;
3000;1621855;28;600.0;131.8;
3100;1641553;28;600.0;131.8;
3200;1653987;28;600.0;131.8;
3300;1664077;28;600.0;131.8;
3400;1681980;28;600.0;131.8;
3500;1695323;28;600.0;131.8;
3600;1705732;28;600.0;131.8;
3700;1714990;30;600.0;129.3;
3800;1729714;26;600.0;135.8;
3900;1741496;26;600.0;135.8;
4000;1749961;26;600.0;135.8;
4100;1753611;26;600.0;135.8;
4200;1765708;26;600.0;135.8;
4300;1776724;26;600.0;135.8;
4400;1785543;26;600.0;135.8;
4500;1804594;26;600.0;135.8;
4600;1819202;26;600.0;135.8;
4700;1829198;26;600.0;135.8;
4800;1838527;25;600.0;136.6;
4900;1850783;25;600.0;136.6;
5000;1859595;25;600.0;136.6;
