epis;QTable;steps;cumReward;discountedReward;
100;222977;212;600.0;153.2;
200;391379;175;600.0;194.3;
300;506317;999;300.0;186.2;
400;609634;127;581.0;206.8;
500;688627;119;600.0;206.8;
600;756937;999;500.0;221.8;
700;799381;23;600.0;231.6;
800;848999;23;600.0;231.6;
900;889732;23;600.0;231.6;
1000;921663;23;600.0;231.6;
1100;961103;23;600.0;231.6;
1200;991321;23;600.0;231.6;
1300;1020530;23;600.0;231.6;
1400;1042390;23;600.0;231.6;
1500;1071889;23;600.0;231.6;
1600;1095998;21;600.0;242.3;
1700;1116784;21;600.0;242.3;
1800;1137825;21;600.0;242.3;
1900;1159876;21;600.0;242.3;
2000;1174820;21;600.0;242.3;
2100;1185939;21;600.0;242.3;
2200;1204039;21;600.0;242.3;
2300;1221230;999;300.0;186.2;
2400;1244965;20;600.0;243.6;
2500;1254400;20;600.0;243.6;
2600;1275802;20;600.0;243.6;
2700;1290235;20;600.0;243.6;
2800;1309088;20;600.0;243.6;
2900;1334199;20;600.0;246.5;
3000;1349972;20;600.0;246.5;
3100;1363884;20;600.0;246.5;
3200;1372544;20;600.0;246.5;
3300;1378921;20;600.0;246.5;
3400;1387343;20;600.0;246.5;
3500;1393686;20;600.0;246.5;
3600;1415597;20;600.0;246.5;
3700;1428928;20;600.0;246.5;
3800;1438757;20;600.0;246.5;
3900;1456366;22;600.0;226.8;
4000;1465007;22;600.0;226.8;
4100;1479789;22;600.0;226.8;
4200;1489127;22;600.0;226.8;
4300;1502979;22;600.0;226.8;
4400;1519409;22;600.0;226.8;
4500;1530989;22;600.0;226.8;
4600;1541622;22;600.0;226.8;
4700;1556323;22;600.0;226.8;
4800;1577624;22;600.0;226.8;
4900;1586404;20;600.0;252.4;
5000;1593950;20;600.0;252.4;
