epis;QTable;steps;cumReward;discountedReward;
100;226263;999;0.0;0.0;
200;409352;230;600.0;125.9;
300;554555;999;200.0;118.8;
400;679221;207;600.0;163.5;
500;765888;212;600.0;179.0;
600;842368;212;600.0;179.0;
700;906631;212;600.0;179.0;
800;963427;999;400.0;179.0;
900;1001327;24;600.0;201.4;
1000;1035629;24;600.0;201.4;
1100;1075543;24;600.0;201.4;
1200;1100064;24;600.0;201.4;
1300;1139427;24;600.0;201.4;
1400;1169136;24;600.0;201.4;
1500;1203989;24;600.0;201.4;
1600;1234726;24;600.0;201.4;
1700;1260460;24;600.0;201.4;
1800;1279980;24;600.0;201.4;
1900;1298263;24;600.0;201.4;
2000;1325481;24;600.0;201.4;
2100;1350418;24;600.0;201.4;
2200;1369978;24;600.0;201.4;
2300;1390740;24;600.0;201.4;
2400;1418907;24;600.0;201.4;
2500;1445108;24;600.0;201.4;
2600;1457575;24;600.0;201.4;
2700;1489905;24;600.0;201.4;
2800;1507765;24;600.0;201.4;
2900;1526205;24;600.0;201.4;
3000;1549079;24;600.0;201.4;
3100;1573515;24;600.0;201.4;
3200;1587550;24;600.0;201.4;
3300;1606220;24;600.0;201.4;
3400;1620329;24;600.0;201.4;
3500;1638605;24;600.0;201.4;
3600;1656570;22;600.0;200.6;
3700;1675155;22;600.0;200.6;
3800;1690372;22;600.0;200.6;
3900;1710985;22;600.0;200.6;
4000;1726383;22;600.0;200.6;
4100;1743854;22;600.0;204.1;
4200;1760337;22;600.0;204.1;
4300;1768640;22;600.0;204.1;
4400;1780367;22;600.0;204.1;
4500;1797273;22;600.0;204.1;
4600;1813623;22;600.0;204.1;
4700;1820947;22;600.0;200.6;
4800;1833492;22;600.0;204.1;
4900;1847336;22;600.0;204.1;
5000;1870139;22;600.0;204.1;
