epis;QTable;steps;cumReward;discountedReward;
100;223747;999;0.0;0.0;
200;411865;59;600.0;128.4;
300;553134;270;600.0;121.6;
400;693084;999;300.0;150.1;
500;781446;262;600.0;168.7;
600;866054;262;600.0;168.7;
700;937129;262;600.0;168.7;
800;1001918;807;600.0;168.7;
900;1070620;999;400.0;168.7;
1000;1125235;999;400.0;168.7;
1100;1165065;999;500.0;176.6;
1200;1193448;999;500.0;176.6;
1300;1238740;30;600.0;181.4;
1400;1271575;30;600.0;181.4;
1500;1306352;30;600.0;181.4;
1600;1340784;30;600.0;181.4;
1700;1370514;30;600.0;181.4;
1800;1396209;30;600.0;181.4;
1900;1428177;30;600.0;181.4;
2000;1451748;30;600.0;181.4;
2100;1477836;30;600.0;181.4;
2200;1492387;30;600.0;183.4;
2300;1511499;30;600.0;183.4;
2400;1534988;30;600.0;183.4;
2500;1549247;30;600.0;183.4;
2600;1577732;30;600.0;183.4;
2700;1598452;30;600.0;183.4;
2800;1614526;30;600.0;183.4;
2900;1630252;30;600.0;183.4;
3000;1653223;30;600.0;183.4;
3100;1674536;30;600.0;183.4;
3200;1696220;30;600.0;183.4;
3300;1712043;30;600.0;183.4;
3400;1723916;30;600.0;183.4;
3500;1732401;30;600.0;183.4;
3600;1745941;30;600.0;183.4;
3700;1765502;30;600.0;183.4;
3800;1778065;30;600.0;183.4;
3900;1789640;30;600.0;183.4;
4000;1798714;30;600.0;183.4;
4100;1814044;32;600.0;183.3;
4200;1831910;32;600.0;183.3;
4300;1842293;30;600.0;185.7;
4400;1849814;30;600.0;185.7;
4500;1857614;30;600.0;185.7;
4600;1873716;30;600.0;185.7;
4700;1882040;30;600.0;185.7;
4800;1895941;30;600.0;185.7;
4900;1913705;30;600.0;185.7;
5000;1927008;30;600.0;185.7;
