epis;QTable;steps;cumReward;discountedReward;
100;197061;736;600.0;119.3;
200;348415;315;581.0;163.6;
300;460506;166;600.0;190.1;
400;570143;166;600.0;190.1;
500;645813;166;600.0;190.1;
600;704873;999;400.0;190.0;
700;757316;999;400.0;190.0;
800;793193;23;600.0;214.9;
900;830720;23;600.0;214.9;
1000;874671;23;600.0;214.9;
1100;917527;23;600.0;214.9;
1200;949075;23;600.0;214.9;
1300;984233;23;600.0;214.9;
1400;1017066;23;600.0;214.9;
1500;1049358;23;600.0;214.9;
1600;1094014;23;600.0;214.9;
1700;1124253;23;600.0;214.9;
1800;1148462;23;600.0;214.9;
1900;1175517;23;600.0;214.9;
2000;1196134;23;600.0;214.9;
2100;1220258;23;600.0;214.9;
2200;1239925;21;600.0;220.7;
2300;1257924;21;600.0;220.7;
2400;1290796;21;600.0;220.7;
2500;1311134;21;600.0;220.7;
2600;1326081;21;600.0;220.7;
2700;1352723;21;600.0;220.7;
2800;1370846;21;600.0;220.7;
2900;1385087;21;600.0;220.7;
3000;1400669;21;600.0;220.7;
3100;1414715;21;600.0;220.7;
3200;1437943;21;600.0;220.7;
3300;1448762;21;600.0;220.7;
3400;1466235;21;600.0;220.7;
3500;1480388;21;600.0;220.7;
3600;1497225;21;600.0;220.7;
3700;1514747;21;600.0;220.7;
3800;1530302;21;600.0;220.7;
3900;1543430;21;600.0;220.7;
4000;1558619;21;600.0;220.7;
4100;1571516;21;600.0;220.7;
4200;1583422;21;600.0;220.7;
4300;1593771;21;600.0;220.7;
4400;1602393;21;600.0;220.7;
4500;1615130;21;600.0;220.7;
4600;1626244;21;600.0;220.7;
4700;1639023;21;600.0;220.7;
4800;1648749;21;600.0;220.7;
4900;1656183;21;600.0;220.7;
5000;1675128;21;600.0;220.7;
