epis;QTable;steps;cumReward;discountedReward;
100;223206;192;600.0;153.2;
200;400557;999;200.0;143.1;
300;539632;999;200.0;143.1;
400;654163;303;600.0;168.6;
500;750560;122;600.0;187.2;
600;824807;999;400.0;180.7;
700;896832;999;400.0;180.7;
800;960771;999;400.0;180.7;
900;1010016;999;400.0;180.7;
1000;1058236;30;600.0;191.9;
1100;1091333;30;600.0;191.9;
1200;1124535;30;600.0;191.9;
1300;1162619;30;600.0;191.9;
1400;1197860;30;600.0;191.9;
1500;1232771;30;600.0;191.9;
1600;1249613;30;600.0;191.9;
1700;1282361;30;600.0;191.9;
1800;1310191;30;600.0;191.9;
1900;1334766;30;600.0;191.9;
2000;1352010;30;600.0;191.9;
2100;1378757;30;600.0;191.9;
2200;1397425;30;600.0;191.9;
2300;1426742;30;600.0;191.9;
2400;1450865;30;600.0;197.8;
2500;1462278;30;600.0;197.8;
2600;1484278;30;600.0;200.6;
2700;1506568;30;600.0;200.6;
2800;1519845;30;600.0;200.6;
2900;1533961;30;600.0;200.6;
3000;1559895;30;600.0;200.6;
3100;1575182;30;600.0;200.6;
3200;1587249;30;600.0;200.6;
3300;1605386;29;600.0;201.1;
3400;1619201;29;600.0;201.1;
3500;1632094;29;600.0;201.1;
3600;1647655;29;600.0;201.1;
3700;1655962;29;600.0;201.1;
3800;1670690;29;600.0;201.1;
3900;1681338;29;600.0;201.1;
4000;1698145;29;600.0;201.1;
4100;1708437;33;600.0;205.6;
4200;1723010;33;600.0;205.6;
4300;1736316;25;600.0;215.7;
4400;1745264;25;600.0;215.7;
4500;1756998;25;600.0;215.7;
4600;1764871;25;600.0;215.7;
4700;1771430;25;600.0;215.7;
4800;1777374;25;600.0;215.7;
4900;1786673;25;600.0;215.7;
5000;1795473;25;600.0;215.7;
