epis;QTable;steps;cumReward;discountedReward;
100;202288;999;0.0;0.0;
200;379450;999;100.0;90.0;
300;535822;229;600.0;128.8;
400;674286;153;581.0;142.0;
500;781285;999;200.0;128.7;
600;885469;243;600.0;186.2;
700;949854;41;581.0;223.0;
800;1002770;41;581.0;223.0;
900;1044557;999;500.0;221.8;
1000;1093774;999;500.0;221.8;
1100;1126748;999;500.0;221.8;
1200;1165988;999;500.0;221.8;
1300;1207273;999;500.0;221.8;
1400;1234008;999;500.0;221.8;
1500;1260784;33;600.0;225.3;
1600;1286298;33;600.0;225.3;
1700;1309204;33;600.0;225.3;
1800;1335786;33;600.0;225.3;
1900;1357899;33;600.0;225.3;
2000;1377083;33;600.0;225.3;
2100;1395193;33;600.0;225.3;
2200;1408290;33;600.0;225.3;
2300;1429436;33;600.0;225.3;
2400;1444492;33;600.0;225.3;
2500;1461430;33;600.0;225.3;
2600;1477262;33;600.0;225.3;
2700;1491489;27;600.0;228.3;
2800;1506807;27;600.0;228.3;
2900;1518307;27;600.0;228.3;
3000;1529895;27;600.0;228.3;
3100;1540758;27;600.0;228.3;
3200;1549794;27;600.0;228.3;
3300;1560928;27;600.0;228.3;
3400;1567621;27;600.0;228.3;
3500;1573765;27;600.0;228.3;
3600;1580529;27;600.0;228.3;
3700;1595231;27;600.0;228.3;
3800;1603401;27;600.0;228.3;
3900;1616728;27;600.0;228.3;
4000;1627718;27;600.0;228.3;
4100;1638795;27;600.0;228.3;
4200;1646360;27;600.0;228.3;
4300;1650936;27;600.0;228.3;
4400;1657437;27;600.0;228.3;
4500;1666905;27;600.0;228.3;
4600;1673618;27;600.0;228.3;
4700;1681353;27;600.0;228.3;
4800;1686629;27;600.0;228.3;
4900;1693342;27;600.0;228.3;
5000;1699683;27;600.0;228.3;
