epis;QTable;steps;cumReward;discountedReward;
100;212924;999;0.0;0.0;
200;406361;999;100.0;65.6;
300;562887;999;300.0;140.0;
400;677121;999;300.0;140.0;
500;780752;999;300.0;140.0;
600;861612;999;400.0;160.6;
700;913740;26;600.0;177.6;
800;966398;26;600.0;177.6;
900;1015953;26;600.0;177.6;
1000;1050178;26;600.0;177.6;
1100;1088954;26;600.0;177.6;
1200;1121624;26;600.0;177.6;
1300;1155695;26;600.0;177.6;
1400;1183537;26;600.0;177.6;
1500;1207043;26;600.0;177.6;
1600;1233008;26;600.0;177.6;
1700;1251785;26;600.0;177.6;
1800;1276430;26;600.0;177.6;
1900;1303234;26;600.0;177.6;
2000;1320524;26;600.0;177.6;
2100;1342910;26;600.0;177.6;
2200;1361598;26;600.0;177.6;
2300;1374639;26;600.0;177.6;
2400;1392600;26;600.0;177.6;
2500;1403420;26;600.0;177.6;
2600;1420811;28;600.0;176.7;
2700;1440755;28;600.0;176.7;
2800;1454479;28;600.0;176.7;
2900;1471019;28;600.0;176.7;
3000;1489494;28;600.0;176.7;
3100;1508020;28;600.0;176.7;
3200;1523234;28;600.0;176.7;
3300;1540418;28;600.0;176.7;
3400;1558217;28;600.0;176.7;
3500;1571142;28;600.0;176.7;
3600;1584346;26;600.0;179.9;
3700;1606783;26;600.0;179.9;
3800;1614121;26;600.0;179.9;
3900;1627883;26;600.0;179.9;
4000;1641538;26;600.0;179.9;
4100;1652889;26;600.0;179.9;
4200;1669784;26;600.0;179.9;
4300;1684715;26;600.0;179.9;
4400;1697233;26;600.0;179.9;
4500;1712147;26;600.0;179.9;
4600;1722392;26;600.0;179.9;
4700;1738646;26;600.0;179.9;
4800;1752053;26;600.0;179.9;
4900;1764956;26;600.0;179.9;
5000;1780055;26;600.0;179.9;
