epis;QTable;steps;cumReward;discountedReward;
100;196585;272;562.0;113.4;
200;377842;153;600.0;159.0;
300;512903;142;600.0;203.4;
400;617260;187;600.0;236.8;
500;683690;999;400.0;234.8;
600;744713;999;400.0;234.8;
700;795955;999;400.0;234.8;
800;845464;999;400.0;234.8;
900;892051;999;400.0;234.8;
1000;931255;25;600.0;252.6;
1100;953819;25;600.0;252.6;
1200;979767;25;600.0;252.6;
1300;1018446;25;600.0;252.6;
1400;1039916;25;600.0;252.6;
1500;1064510;25;600.0;252.6;
1600;1091039;25;600.0;252.6;
1700;1112747;25;600.0;252.6;
1800;1138515;25;600.0;252.6;
1900;1163529;25;600.0;252.6;
2000;1181994;25;600.0;252.6;
2100;1192040;25;600.0;252.6;
2200;1214234;999;400.0;234.8;
2300;1229649;25;600.0;252.6;
2400;1245025;25;600.0;252.6;
2500;1255345;25;600.0;252.6;
2600;1270290;25;600.0;252.6;
2700;1283622;25;600.0;253.7;
2800;1297159;25;600.0;253.7;
2900;1314211;25;600.0;253.7;
3000;1329064;999;400.0;234.8;
3100;1340155;25;600.0;253.7;
3200;1348773;25;600.0;253.7;
3300;1362290;25;600.0;253.7;
3400;1375623;25;600.0;253.7;
3500;1389659;25;600.0;253.7;
3600;1400408;999;400.0;234.8;
3700;1413532;27;600.0;250.1;
3800;1423785;27;600.0;250.1;
3900;1437384;27;600.0;250.1;
4000;1458113;27;600.0;250.1;
4100;1468662;27;600.0;250.1;
4200;1476431;27;600.0;250.1;
4300;1486161;27;600.0;250.1;
4400;1499891;25;600.0;253.7;
4500;1509687;25;600.0;253.7;
4600;1519514;25;600.0;253.7;
4700;1530076;25;600.0;253.7;
4800;1535597;25;600.0;253.7;
4900;1544376;25;600.0;253.7;
5000;1558833;25;600.0;253.7;
