epis;QTable;steps;cumReward;discountedReward;
100;224374;270;600.0;66.4;
200;398070;337;600.0;136.3;
300;532502;999;300.0;136.3;
400;647807;999;300.0;136.3;
500;730685;38;600.0;188.3;
600;796743;38;600.0;188.3;
700;858976;38;600.0;188.3;
800;912657;999;500.0;186.2;
900;957923;999;500.0;186.2;
1000;1004624;999;500.0;186.2;
1100;1057104;999;500.0;186.2;
1200;1098022;29;600.0;191.5;
1300;1145481;29;600.0;191.5;
1400;1187477;29;600.0;191.5;
1500;1217553;29;600.0;191.5;
1600;1245225;29;600.0;191.5;
1700;1275597;29;600.0;191.5;
1800;1298302;29;600.0;191.5;
1900;1332699;29;600.0;191.5;
2000;1357138;29;600.0;191.5;
2100;1379550;29;600.0;191.5;
2200;1405848;29;600.0;191.5;
2300;1423426;999;0.0;0.0;
2400;1447953;28;600.0;192.0;
2500;1476446;28;600.0;192.0;
2600;1488304;28;600.0;192.0;
2700;1510328;28;600.0;192.0;
2800;1524472;28;600.0;192.0;
2900;1545093;28;600.0;192.0;
3000;1574297;28;600.0;192.0;
3100;1593410;28;600.0;192.0;
3200;1607406;28;600.0;192.0;
3300;1630106;28;600.0;192.0;
3400;1647312;28;600.0;192.0;
3500;1663174;28;600.0;204.7;
3600;1688519;28;600.0;207.3;
3700;1712019;28;600.0;207.3;
3800;1726768;28;600.0;207.3;
3900;1742865;28;600.0;207.3;
4000;1756927;28;600.0;207.3;
4100;1773437;28;600.0;207.3;
4200;1789107;28;600.0;207.3;
4300;1808529;30;600.0;207.1;
4400;1817259;26;600.0;213.5;
4500;1831122;23;600.0;216.2;
4600;1851824;23;600.0;216.2;
4700;1868345;23;600.0;216.2;
4800;1882528;23;600.0;216.2;
4900;1899668;23;600.0;216.2;
5000;1909473;23;600.0;216.2;
