epis;QTable;steps;cumReward;discountedReward;
100;223884;263;600.0;78.9;
200;395971;426;581.0;113.3;
300;539801;999;200.0;106.9;
400;670843;243;600.0;128.0;
500;765128;215;600.0;142.5;
600;863728;204;600.0;142.5;
700;928657;999;400.0;142.5;
800;997979;999;400.0;142.5;
900;1065834;999;400.0;142.5;
1000;1121439;999;400.0;142.5;
1100;1167563;999;500.0;153.4;
1200;1211496;30;600.0;158.1;
1300;1251435;30;600.0;158.1;
1400;1298808;30;600.0;158.1;
1500;1336316;30;600.0;158.1;
1600;1365047;30;600.0;158.1;
1700;1405294;30;600.0;158.1;
1800;1437969;30;600.0;164.7;
1900;1463293;30;600.0;164.7;
2000;1494335;30;600.0;164.7;
2100;1524250;30;600.0;164.7;
2200;1543825;30;600.0;164.7;
2300;1561592;24;600.0;168.8;
2400;1589230;24;600.0;168.8;
2500;1618643;24;600.0;174.2;
2600;1640709;24;600.0;174.2;
2700;1666079;24;600.0;174.2;
2800;1689820;22;600.0;187.2;
2900;1711039;22;600.0;187.2;
3000;1732403;22;600.0;187.2;
3100;1751270;22;600.0;187.2;
3200;1770921;22;600.0;187.2;
3300;1788698;22;600.0;187.2;
3400;1809719;22;600.0;187.2;
3500;1822003;22;600.0;187.2;
3600;1841234;22;600.0;187.2;
3700;1858019;22;600.0;187.2;
3800;1872810;22;600.0;187.2;
3900;1888706;22;600.0;187.2;
4000;1908457;22;600.0;187.2;
4100;1921667;22;600.0;187.2;
4200;1938162;22;600.0;187.2;
4300;1953888;22;600.0;187.2;
4400;1970213;22;600.0;187.2;
4500;1985703;22;600.0;187.2;
4600;1998017;22;600.0;187.2;
4700;2012130;22;600.0;187.2;
4800;2028640;22;600.0;187.2;
4900;2035644;22;600.0;187.2;
5000;2048924;22;600.0;187.2;
