epis;QTable;steps;cumReward;discountedReward;
100;224017;91;600.0;44.5;
200;401454;219;581.0;104.2;
300;548963;419;600.0;133.1;
400;663625;582;600.0;138.2;
500;769595;582;600.0;138.2;
600;847968;582;600.0;138.2;
700;913949;999;500.0;138.2;
800;969203;999;400.0;138.2;
900;1008428;999;400.0;138.2;
1000;1050636;999;400.0;138.2;
1100;1079544;999;400.0;138.2;
1200;1118838;32;600.0;147.8;
1300;1146977;32;600.0;147.8;
1400;1175453;32;600.0;147.8;
1500;1196771;32;600.0;147.8;
1600;1228886;30;600.0;180.6;
1700;1256922;30;600.0;180.6;
1800;1290055;30;600.0;180.6;
1900;1315701;30;600.0;180.6;
2000;1341554;30;600.0;180.6;
2100;1370499;30;600.0;180.6;
2200;1392028;30;600.0;180.6;
2300;1409802;30;600.0;180.6;
2400;1432280;30;600.0;180.6;
2500;1453328;30;600.0;180.6;
2600;1472478;30;600.0;180.6;
2700;1495436;999;500.0;177.5;
2800;1521409;30;600.0;180.6;
2900;1540118;29;600.0;181.1;
3000;1562335;29;600.0;181.1;
3100;1582528;29;600.0;181.1;
3200;1602159;29;600.0;181.1;
3300;1624894;29;600.0;181.1;
3400;1639043;29;600.0;181.1;
3500;1658378;29;600.0;181.1;
3600;1674944;29;600.0;181.1;
3700;1691198;29;600.0;181.1;
3800;1705336;29;600.0;181.1;
3900;1722366;29;600.0;181.1;
4000;1737775;29;600.0;181.1;
4100;1760716;29;600.0;181.1;
4200;1768763;29;600.0;181.1;
4300;1790630;29;600.0;181.1;
4400;1800848;29;600.0;181.1;
4500;1813649;29;600.0;181.1;
4600;1829625;29;600.0;181.1;
4700;1834681;29;600.0;181.1;
4800;1850990;29;600.0;181.1;
4900;1860238;29;600.0;181.1;
5000;1868480;29;600.0;181.1;
