epis;QTable;steps;cumReward;discountedReward;
100;221569;999;100.0;90.0;
200;385290;145;600.0;130.0;
300;513580;311;600.0;170.5;
400;627039;999;300.0;157.0;
500;739169;999;300.0;157.0;
600;825527;999;400.0;177.6;
700;899004;999;400.0;177.6;
800;973597;999;400.0;177.6;
900;1032461;29;600.0;195.0;
1000;1076298;25;600.0;197.7;
1100;1114719;25;600.0;197.7;
1200;1164694;25;600.0;197.7;
1300;1198510;25;600.0;197.7;
1400;1237319;25;600.0;197.7;
1500;1266742;25;600.0;197.7;
1600;1296630;25;600.0;197.7;
1700;1320247;25;600.0;197.7;
1800;1353335;25;600.0;197.7;
1900;1382187;25;600.0;197.7;
2000;1406265;25;600.0;197.7;
2100;1432246;25;600.0;197.7;
2200;1453094;25;600.0;197.7;
2300;1472569;25;600.0;197.7;
2400;1492698;25;600.0;197.7;
2500;1512362;25;600.0;197.7;
2600;1528556;25;600.0;197.7;
2700;1543825;25;600.0;197.7;
2800;1566156;25;600.0;197.7;
2900;1578764;25;600.0;197.7;
3000;1595205;25;600.0;202.0;
3100;1612264;25;600.0;202.0;
3200;1628225;25;600.0;202.0;
3300;1644344;34;600.0;218.7;
3400;1657048;32;600.0;221.5;
3500;1676238;32;600.0;221.5;
3600;1685136;32;600.0;221.5;
3700;1699902;32;600.0;221.5;
3800;1712702;32;600.0;221.5;
3900;1729320;32;600.0;221.5;
4000;1747052;32;600.0;221.5;
4100;1762941;32;600.0;221.5;
4200;1775087;32;600.0;221.5;
4300;1786485;32;600.0;221.5;
4400;1800862;32;600.0;221.5;
4500;1816476;32;600.0;221.5;
4600;1825218;32;600.0;221.5;
4700;1835145;32;600.0;221.5;
4800;1843782;32;600.0;221.5;
4900;1853212;32;600.0;221.5;
5000;1863398;32;600.0;221.5;
