epis;QTable;steps;cumReward;discountedReward;
100;194444;247;600.0;104.0;
200;375770;230;600.0;139.7;
300;536933;503;581.0;156.5;
400;675611;999;200.0;137.8;
500;781884;999;200.0;137.8;
600;883780;999;200.0;137.8;
700;959681;337;600.0;164.6;
800;1033190;337;600.0;164.6;
900;1091128;999;300.0;163.2;
1000;1144436;51;581.0;184.4;
1100;1187835;22;600.0;230.9;
1200;1222645;22;600.0;230.9;
1300;1253284;22;600.0;230.9;
1400;1282204;22;600.0;230.9;
1500;1311049;22;600.0;230.9;
1600;1331059;22;600.0;230.9;
1700;1343926;22;600.0;230.9;
1800;1367212;22;600.0;230.9;
1900;1382440;22;600.0;230.9;
2000;1396005;22;600.0;230.9;
2100;1412683;22;600.0;230.9;
2200;1428129;22;600.0;230.9;
2300;1443341;22;600.0;230.9;
2400;1455640;22;600.0;230.9;
2500;1470911;22;600.0;221.9;
2600;1493454;22;600.0;221.9;
2700;1517982;22;600.0;221.9;
2800;1534514;22;600.0;221.9;
2900;1549496;22;600.0;221.9;
3000;1567457;22;600.0;221.9;
3100;1587516;22;600.0;221.9;
3200;1597351;22;600.0;221.9;
3300;1616491;22;600.0;221.9;
3400;1633869;22;600.0;221.9;
3500;1654059;21;600.0;223.1;
3600;1671840;21;600.0;223.1;
3700;1693123;21;600.0;223.1;
3800;1706153;21;600.0;223.1;
3900;1717750;21;600.0;223.1;
4000;1735903;21;600.0;223.1;
4100;1751103;21;600.0;226.6;
4200;1763924;21;600.0;226.6;
4300;1780074;21;600.0;226.6;
4400;1797043;21;600.0;226.6;
4500;1814636;21;600.0;226.6;
4600;1826706;21;600.0;226.6;
4700;1847683;21;600.0;226.6;
4800;1858604;21;600.0;226.6;
4900;1871448;21;600.0;226.6;
5000;1880933;21;600.0;226.6;
