epis;QTable;steps;cumReward;discountedReward;
100;220824;378;600.0;94.6;
200;409896;272;600.0;119.3;
300;565020;272;600.0;119.3;
400;685271;272;600.0;119.3;
500;786849;175;600.0;121.7;
600;879620;999;300.0;119.3;
700;964463;999;300.0;119.3;
800;1040021;999;300.0;119.3;
900;1108105;999;300.0;119.3;
1000;1172441;999;300.0;119.3;
1100;1236444;999;300.0;119.3;
1200;1291996;999;300.0;119.3;
1300;1336814;999;300.0;119.3;
1400;1370547;101;600.0;132.0;
1500;1410543;111;600.0;132.0;
1600;1436441;999;500.0;132.0;
1700;1472806;40;600.0;133.7;
1800;1504694;40;600.0;133.7;
1900;1530335;40;600.0;133.7;
2000;1556039;40;600.0;133.7;
2100;1586418;38;600.0;156.0;
2200;1608847;38;600.0;156.0;
2300;1633080;38;600.0;156.0;
2400;1658562;38;600.0;156.0;
2500;1683412;38;600.0;156.0;
2600;1702356;38;600.0;156.0;
2700;1723374;38;600.0;156.0;
2800;1743728;38;600.0;156.0;
2900;1760766;38;600.0;156.0;
3000;1776846;38;600.0;156.0;
3100;1798730;38;600.0;156.0;
3200;1818005;38;600.0;156.0;
3300;1834010;38;600.0;156.0;
3400;1850472;38;600.0;156.0;
3500;1868776;38;600.0;156.0;
3600;1882060;38;600.0;156.0;
3700;1897117;38;600.0;156.0;
3800;1908329;38;600.0;156.0;
3900;1920324;38;600.0;156.0;
4000;1929995;32;600.0;164.1;
4100;1935809;32;600.0;164.1;
4200;1946761;32;600.0;164.1;
4300;1958370;32;600.0;164.1;
4400;1970287;32;600.0;164.1;
4500;1983412;32;600.0;164.1;
4600;1997520;32;600.0;164.1;
4700;2007692;32;600.0;164.1;
4800;2017200;32;600.0;164.1;
4900;2029264;32;600.0;164.1;
5000;2039813;32;600.0;164.1;
