epis;QTable;steps;cumReward;discountedRew;
0;0;105.09;0;0;
5;703;89.29;0;0;
10;982;114.16;0;0;
15;1587;109.26;0;0;
20;1911;90.82;0;0;
25;2302;90;0;0;
30;2862;87.36;0;0;
35;3375;99.17;0;0;
40;3872;89.97;0;0;
45;4492;95.11;0;0;
50;5258;105.99;0;0;
55;5471;108.08;0;0;
60;6148;74.13;0;0;
65;6438;90.7;0;0;
70;6687;84.48;0;0;
75;7052;102.54;0;0;
80;7352;95.58;0;0;
85;8028;90.17;0;0;
90;8502;92.41;0;0;
95;8961;92.62;0;0;
100;9255;93.32;0;0;
105;9925;90.9;0;0;
110;10134;86.9;0;0;
115;10516;91.18;0;0;
120;10862;94.7;0;0;
125;11142;77.43;0;0;
130;11474;97.78;0;0;
135;11697;105.64;0;0;
140;12079;80.7;0;0;
145;12609;85.98;0;0;
150;13038;100.5;0;0;
155;13489;87.85;0;0;
160;13657;81.55;0;0;
165;14028;120.93;0;0;
170;14412;96.07;0;0;
175;14639;93.2;0;0;
180;15088;78.41;0;0;
185;15253;89.83;0;0;
190;15495;88.49;0;0;
195;15913;84.91;0;0;
200;16233;91.47;0;0;
205;16505;88.73;0;0;
210;16855;79.65;0;0;
215;17209;78.77;0;0;
220;17501;84.61;0;0;
225;17872;92.19;0;0;
230;18299;98.23;0;0;
235;18521;84.22;0;0;
240;19053;89.04;0;0;
245;19381;80.1;0;0;
250;19577;91.49;0;0;
255;19840;73.3;0;0;
260;19983;75.87;0;0;
265;20288;94.58;0;0;
270;20620;83.08;0;0;
275;20831;93.86;0;0;
280;21139;78.78;0;0;
285;21485;84.87;0;0;
290;21706;97.26;0;0;
295;22020;96.9;0;0;
300;22194;80.3;0;0;
305;22499;72.47;0;0;
310;22742;75.51;0;0;
315;23015;86.21;0;0;
320;23224;83.34;0;0;
325;23510;74.58;0;0;
330;23790;82.65;0;0;
335;23971;81.77;0;0;
340;24150;71.49;0;0;
345;24481;75.82;0;0;
350;24762;79.99;0;0;
355;25053;87.85;0;0;
360;25319;87.25;0;0;
365;25524;72.45;0;0;
370;25773;76.36;0;0;
