epis;QTable;steps;cumReward;discountedRew;
0;0;96.13;0;0;
5;590;94.93;0;0;
10;925;98.36;0;0;
15;1357;98.6;0;0;
20;1697;107.76;0;0;
25;2243;96.01;0;0;
30;2525;95.67;0;0;
35;2954;91.66;0;0;
40;3399;96.05;0;0;
45;3714;93.75;0;0;
50;4236;84.41;0;0;
55;4616;84.98;0;0;
60;5177;89.66;0;0;
65;5505;96.1;0;0;
70;5805;80.23;0;0;
75;6178;92.92;0;0;
80;6535;97.97;0;0;
85;6831;71.48;0;0;
90;7075;90.47;0;0;
95;7503;94.18;0;0;
100;7873;101.64;0;0;
105;8243;83.72;0;0;
110;8695;87.99;0;0;
115;9010;78.84;0;0;
120;9284;96.24;0;0;
125;9703;91.86;0;0;
130;9987;82.5;0;0;
135;10454;88.07;0;0;
140;10824;91.01;0;0;
145;11076;87.41;0;0;
150;11364;85.77;0;0;
155;11979;88.34;0;0;
160;12332;75.11;0;0;
165;12541;85.55;0;0;
170;12867;79.21;0;0;
175;13114;87.13;0;0;
180;13454;86.72;0;0;
185;13666;81.76;0;0;
190;13885;83.45;0;0;
195;14087;86.44;0;0;
200;14463;92.44;0;0;
205;14763;74.11;0;0;
210;15018;84.69;0;0;
215;15388;84.93;0;0;
220;15635;86.42;0;0;
225;15966;85.14;0;0;
230;16447;82.78;0;0;
235;16583;80.85;0;0;
240;16751;66.85;0;0;
245;17066;68.66;0;0;
250;17311;78.78;0;0;
255;17386;69.88;0;0;
260;17911;72.89;0;0;
265;18139;79.48;0;0;
270;18393;81.42;0;0;
275;18789;77.23;0;0;
280;19087;86.93;0;0;
285;19386;83.3;0;0;
290;19659;86.53;0;0;
295;19969;84.88;0;0;
300;20147;75.32;0;0;
305;20431;74.1;0;0;
310;20877;72.95;0;0;
315;21209;68.64;0;0;
320;21380;72.52;0;0;
325;21583;75.62;0;0;
330;21784;83.34;0;0;
335;22016;78.44;0;0;
340;22186;77.96;0;0;
345;22467;79.73;0;0;
350;22669;67.01;0;0;
355;22873;76.14;0;0;
360;23060;70.33;0;0;
365;23335;83.94;0;0;
370;23520;77.69;0;0;
375;23713;69.06;0;0;
380;24012;71.19;0;0;
385;24311;71.02;0;0;
390;24478;75.01;0;0;
395;24693;73.32;0;0;
400;24949;68.6;0;0;
405;25253;83.87;0;0;
410;25474;86.44;0;0;
415;25859;76.04;0;0;
420;26407;76.4;0;0;
425;26589;79;0;0;
430;26785;67.98;0;0;
435;26977;82.32;0;0;
440;27301;77.05;0;0;
445;27425;64.96;0;0;
450;27686;64.29;0;0;
455;27971;68.5;0;0;
460;28296;70.98;0;0;
465;28712;76.77;0;0;
470;28839;83.66;0;0;
475;29052;79.51;0;0;
480;29329;69.88;0;0;
485;29502;78.61;0;0;
490;29829;71.86;0;0;
495;30152;72.91;0;0;
500;30415;74.63;0;0;
505;30668;77.91;0;0;
510;30952;78.69;0;0;
515;31129;78.33;0;0;
520;31314;77.26;0;0;
525;31663;74.03;0;0;
530;31919;76.61;0;0;
535;32206;79.32;0;0;
540;32417;86.16;0;0;
545;32667;78.44;0;0;
550;32886;76.69;0;0;
555;33153;68.81;0;0;
560;33316;86.08;0;0;
565;33396;75.14;0;0;
570;33610;69.53;0;0;
575;33746;79.04;0;0;
580;33960;78.39;0;0;
585;34141;73.2;0;0;
590;34354;88.91;0;0;
595;34590;73.33;0;0;
600;34887;78.63;0;0;
605;35193;77.25;0;0;
610;35373;78.29;0;0;
615;35630;84.72;0;0;
620;35741;80.46;0;0;
625;35946;72.24;0;0;
630;36208;72.78;0;0;
635;36414;78.97;0;0;
640;36529;75.5;0;0;
645;36725;70.51;0;0;
650;37130;73.38;0;0;
655;37315;74.08;0;0;
660;37731;73.61;0;0;
665;38009;76.99;0;0;
670;38185;69.04;0;0;
675;38378;70.92;0;0;
680;38635;66.43;0;0;
685;38798;70.81;0;0;
690;38981;75.16;0;0;
695;39220;69.16;0;0;
700;39412;73.71;0;0;
705;39544;77.07;0;0;
710;39677;73.56;0;0;
715;39872;72.69;0;0;
720;39984;77.31;0;0;
725;40163;61.04;0;0;
730;40375;85.16;0;0;
735;40721;68.53;0;0;
740;40904;68.65;0;0;
745;41076;77.5;0;0;
750;41421;66.04;0;0;
755;41575;64.59;0;0;
760;41730;64.46;0;0;
765;41948;64.62;0;0;
770;42131;64.5;0;0;
775;42406;60.11;0;0;
780;42601;70.19;0;0;
785;42749;70;0;0;
790;42909;69.47;0;0;
795;43020;74.95;0;0;
800;43202;81.56;0;0;
805;43381;72.72;0;0;
810;43743;66.53;0;0;
815;43822;75.41;0;0;
820;44059;69.25;0;0;
825;44197;70.84;0;0;
830;44386;69.92;0;0;
835;44825;67.4;0;0;
840;45057;102.37;0;0;
845;45401;74.56;0;0;
850;45594;73.58;0;0;
855;45986;67.31;0;0;
860;46181;77.65;0;0;
865;46383;72.61;0;0;
870;46632;73.59;0;0;
875;46791;78.05;0;0;
880;47066;71.65;0;0;
885;47413;75.25;0;0;
890;47666;71.86;0;0;
895;48141;71.59;0;0;
900;48302;69.93;0;0;
905;48503;61.38;0;0;
910;48656;82.92;0;0;
915;48878;72.43;0;0;
920;49127;64.5;0;0;
925;49415;66.87;0;0;
930;49534;84.73;0;0;
935;49717;79.06;0;0;
940;49890;87.51;0;0;
945;50083;62.78;0;0;
950;50365;74.56;0;0;
955;50574;71.94;0;0;
960;50823;80.72;0;0;
965;51040;75.66;0;0;
970;51274;71.74;0;0;
975;51548;72.71;0;0;
980;51806;78.69;0;0;
985;52080;79.33;0;0;
990;52416;75.52;0;0;
995;52698;74.86;0;0;
1000;53058;69.67;0;0;
1005;53243;78.32;0;0;
1010;53326;74.72;0;0;
1015;53490;73.01;0;0;
1020;53643;68.63;0;0;
1025;53796;68.46;0;0;
1030;54082;69.85;0;0;
1035;54313;84.55;0;0;
1040;54545;74.44;0;0;
1045;54815;72.05;0;0;
1050;55109;78;0;0;
1055;55320;83.17;0;0;
1060;55467;72.1;0;0;
1065;55632;76.24;0;0;
1070;55850;74.05;0;0;
1075;56020;69.2;0;0;
1080;56330;64.53;0;0;
1085;56419;78.31;0;0;
1090;56557;69.43;0;0;
1095;56921;72.85;0;0;
1100;57049;86.99;0;0;
1105;57254;80.17;0;0;
1110;57381;66.82;0;0;
1115;57655;82.47;0;0;
1120;57785;86.44;0;0;
1125;57933;73.83;0;0;
1130;58211;80.6;0;0;
1135;58457;64.99;0;0;
1140;58627;77.96;0;0;
1145;58865;72.66;0;0;
1150;59104;77.79;0;0;
1155;59255;73.14;0;0;
1160;59332;73.59;0;0;
1165;59549;72.25;0;0;
1170;59801;67.22;0;0;
1175;59985;68.82;0;0;
1180;60171;77.24;0;0;
1185;60336;66.79;0;0;
1190;60742;70.15;0;0;
1195;60931;66.01;0;0;
1200;61199;77.84;0;0;
1205;61434;74.42;0;0;
1210;61580;79.24;0;0;
1215;61898;68.15;0;0;
1220;62217;61.63;0;0;
1225;62438;78.58;0;0;
1230;62614;63.43;0;0;
1235;62860;72.4;0;0;
1240;63006;59.52;0;0;
1245;63251;67.9;0;0;
1250;63415;72.57;0;0;
1255;63663;66.96;0;0;
1260;63978;70.11;0;0;
