epis;QTable;steps;cumReward;discountedRew;
0;0;99.14;0;0;
5;221.6667;92.05;0;0;
10;413;89.65;0;0;
15;618.3333;109.69;0;0;
20;697.6667;88.83;0;0;
25;935.6667;95.14;0;0;
30;1048;95.04;0;0;
35;1173.3333;98.21;0;0;
40;1288;78.47;0;0;
45;1377;71.03;0;0;
50;1476;75.34;0;0;
55;1505;80.99;0;0;
60;1591.3333;84.88;0;0;
65;1712;88.79;0;0;
70;1826.3333;79;0;0;
75;1903.3333;73.25;0;0;
80;2007.6667;89.42;0;0;
85;2113.3333;81.24;0;0;
90;2293.6667;85.54;0;0;
95;2402.3333;90.5;0;0;
100;2515.3333;73.68;0;0;
105;2580.3333;85.39;0;0;
110;2705;71.75;0;0;
115;2736.3333;94.22;0;0;
120;2779.6667;75.84;0;0;
125;2866;83.99;0;0;
130;2931.3333;97.1;0;0;
135;3001.6667;71.24;0;0;
140;3073;71.26;0;0;
145;3150;81.87;0;0;
150;3199.3333;70.61;0;0;
155;3314.6667;83.05;0;0;
160;3393.6667;76.81;0;0;
165;3479;67.21;0;0;
170;3526.3333;81.17;0;0;
175;3608.3333;73.53;0;0;
180;3642.6667;64.51;0;0;
185;3687;73.87;0;0;
190;3739;77.66;0;0;
195;3788;74.3;0;0;
200;3834;76.01;0;0;
205;3906;80.36;0;0;
210;3950.6667;65.77;0;0;
215;4000.6667;68.41;0;0;
220;4042.6667;73.54;0;0;
225;4156.3333;82.42;0;0;
230;4225;72.54;0;0;
235;4286.6667;76.25;0;0;
240;4318.3333;80.68;0;0;
245;4395.3333;91.39;0;0;
250;4445;74.15;0;0;
255;4496;85.68;0;0;
260;4574;82.16;0;0;
265;4660.6667;91.35;0;0;
270;4678;75.03;0;0;
275;4736;80.67;0;0;
280;4778.6667;84.33;0;0;
285;4837.3333;82.56;0;0;
290;4864;68.06;0;0;
295;4937;78.61;0;0;
300;4996.3333;68.53;0;0;
305;5032;81.84;0;0;
310;5076.6667;81.14;0;0;
315;5104;81.94;0;0;
320;5142.3333;78.92;0;0;
325;5200;83.7;0;0;
330;5216.6667;66.92;0;0;
335;5270;76.36;0;0;
340;5301;75.46;0;0;
345;5346;74.97;0;0;
350;5425.3333;83.43;0;0;
355;5472.3333;76.11;0;0;
360;5512;80.17;0;0;
365;5551.3333;82.43;0;0;
370;5597.6667;79.34;0;0;
375;5661.6667;85.41;0;0;
380;5702.6667;96.09;0;0;
385;5723;87.29;0;0;
390;5761;79.7;0;0;
395;5831.3333;89.66;0;0;
400;5887.6667;80.58;0;0;
405;5926.3333;98.72;0;0;
410;5983.3333;78.9;0;0;
415;6006;84.32;0;0;
420;6042;83.81;0;0;
425;6096.6667;60.04;0;0;
430;6127.3333;78.11;0;0;
435;6197.3333;76.23;0;0;
440;6234.3333;73.54;0;0;
445;6288.6667;82.21;0;0;
450;6364;75.77;0;0;
455;6422;56.95;0;0;
460;6455.3333;66.37;0;0;
465;6490;76.19;0;0;
470;6512;73.29;0;0;
475;6591;66.75;0;0;
480;6606.6667;82.18;0;0;
485;6641.6667;76.45;0;0;
490;6672.6667;69.07;0;0;
495;6772.3333;70.82;0;0;
500;6798.3333;73.04;0;0;
505;6858.6667;72.15;0;0;
510;6912.3333;66.73;0;0;
515;6975;65.99;0;0;
520;7015.6667;76.66;0;0;
525;7054.3333;78.26;0;0;
530;7131;71.08;0;0;
535;7190.6667;63.22;0;0;
540;7246.6667;62.53;0;0;
545;7304;67.06;0;0;
550;7316.6667;72.88;0;0;
555;7382.3333;72.51;0;0;
560;7417.3333;57.11;0;0;
565;7456;74.62;0;0;
570;7493.3333;66.72;0;0;
575;7535.3333;64.57;0;0;
580;7558;63.72;0;0;
585;7587.3333;70.74;0;0;
590;7665.3333;58.92;0;0;
595;7695.6667;78.06;0;0;
600;7740.3333;65.28;0;0;
605;7774;75.65;0;0;
610;7802.6667;71.35;0;0;
615;7828.3333;78.22;0;0;
620;7864;74.96;0;0;
625;7896.6667;82.58;0;0;
630;7925;76.03;0;0;
635;7941.3333;63.68;0;0;
640;7981;79.05;0;0;
645;8027.3333;70.04;0;0;
650;8064.3333;61.53;0;0;
655;8100.6667;65.8;0;0;
660;8143;66.41;0;0;
665;8175.6667;65.51;0;0;
670;8193;66.28;0;0;
675;8234.6667;60.68;0;0;
680;8309.3333;62.52;0;0;
685;8329;60.42;0;0;
