epis;QTable;steps;cumReward;discountedRew;
0;0;96.51;0;0;
5;358.6667;95.99;0;0;
10;458.3333;99.5;0;0;
15;616;96.9;0;0;
20;731.6667;93.16;0;0;
25;843;67.74;0;0;
30;929.6667;74.94;0;0;
35;989;73.75;0;0;
40;1116.3333;70.12;0;0;
45;1252.3333;75.23;0;0;
50;1405;99.07;0;0;
55;1530;86.47;0;0;
60;1636.3333;102.69;0;0;
65;1771.3333;92.56;0;0;
70;1906;97.76;0;0;
75;1982.6667;91.47;0;0;
80;2006.6667;91.84;0;0;
85;2047.6667;92.61;0;0;
90;2111.6667;87.98;0;0;
95;2195.3333;89.77;0;0;
100;2313.3333;88.72;0;0;
105;2355.3333;84.17;0;0;
110;2454.6667;83.15;0;0;
115;2509;80.02;0;0;
120;2568.6667;88.75;0;0;
125;2610;95.85;0;0;
130;2693.3333;99.11;0;0;
135;2768.3333;83;0;0;
140;2842.6667;75.61;0;0;
145;2915;90.57;0;0;
150;2974.3333;88.91;0;0;
155;3028;101.31;0;0;
160;3093.6667;96.38;0;0;
165;3174;87.49;0;0;
170;3248.6667;85.69;0;0;
175;3296.3333;79.08;0;0;
180;3328.6667;82.61;0;0;
185;3376;89.15;0;0;
190;3453.6667;87.28;0;0;
195;3531.3333;91.47;0;0;
200;3597.6667;76.51;0;0;
205;3616.6667;86.11;0;0;
210;3734.6667;88.68;0;0;
215;3771.3333;92.4;0;0;
220;3844.6667;99.25;0;0;
225;3924.3333;87.24;0;0;
230;3985;97.09;0;0;
235;4045.6667;78.93;0;0;
240;4120.3333;95.28;0;0;
245;4194.3333;93.77;0;0;
250;4245.3333;87.7;0;0;
255;4292.3333;87.78;0;0;
260;4342;97.72;0;0;
265;4423.6667;85.56;0;0;
270;4458;86.1;0;0;
275;4517.6667;94.65;0;0;
280;4627.3333;97.53;0;0;
285;4687.6667;83.4;0;0;
290;4733.3333;91.82;0;0;
295;4795.6667;93.27;0;0;
300;4854;89.05;0;0;
305;4901.6667;83.93;0;0;
310;4963.6667;88.57;0;0;
315;5012;98.52;0;0;
320;5051;92.43;0;0;
325;5086.6667;95.22;0;0;
330;5144;95.81;0;0;
335;5196.6667;80.63;0;0;
340;5250.6667;94.16;0;0;
345;5282.6667;105.76;0;0;
350;5336.3333;84.93;0;0;
355;5375.3333;96.05;0;0;
360;5442;86.15;0;0;
365;5477.3333;86;0;0;
370;5532.3333;85.31;0;0;
375;5601;81.58;0;0;
380;5663;79.82;0;0;
385;5752.3333;95.84;0;0;
390;5786.6667;86.69;0;0;
395;5841;87.3;0;0;
400;5882.3333;81.42;0;0;
405;5914;75.72;0;0;
410;5961.6667;82.99;0;0;
415;5985.6667;81.98;0;0;
420;6024.3333;65.64;0;0;
425;6052.6667;85.76;0;0;
430;6112;96.89;0;0;
435;6142.6667;73.21;0;0;
440;6176.6667;85.59;0;0;
445;6209;76.74;0;0;
450;6246;68.36;0;0;
455;6292.6667;74.8;0;0;
460;6381.6667;71.92;0;0;
465;6405.3333;92.12;0;0;
470;6443.3333;70.12;0;0;
475;6503;81.32;0;0;
480;6554.6667;77.32;0;0;
485;6596.6667;76.28;0;0;
490;6620.3333;72.07;0;0;
495;6645.3333;74.44;0;0;
500;6728;61.9;0;0;
505;6817;75.27;0;0;
510;6872;87.25;0;0;
515;6886.3333;73.77;0;0;
520;6918.3333;83.22;0;0;
525;6972.6667;79.2;0;0;
530;7022.6667;84.16;0;0;
